"Year","Magnitude","growth","gb","ga","dif","dgrowth_dt","USAMagnitude","ratio","dratio_dt","dratio_dt_mmov","dratio_dt2_mmov","Country","CountryCode"
1993,17710,15.9790438768828,13.4635811387563,4.70782641801606,-8.75575472074025,1.35579519708673,26390,0.671087533156499,7.64613649321997,5.48645904967744,1.14886789650516,"Singapore","SGP"
1994,20780,17.3348390739695,14.4782833490895,1.29633396343355,-13.181949385656,-3.61972839062013,27650,0.751537070524412,8.04495373679136,6.34752727502337,0.861068225345933,"Singapore","SGP"
1995,23630,13.7151106833494,14.2452227819301,-0.746887258066175,-14.9921100399963,-5.29361258770824,29040,0.81370523415978,6.21681636353673,6.75623269649567,0.4087054214723,"Singapore","SGP"
1996,25620,8.42149809564113,13.9154919764637,-1.0148934795214,-14.9303854559851,-0.185744777920602,30270,0.846382556987116,3.26773228273364,6.2395588447279,-0.516673851767777,"Singapore","SGP"
1997,27730,8.23575331772053,13.5277978214094,-0.539796318181624,-14.067594139591,-21.6508272448752,31270,0.886792452830189,4.04098958430728,5.84332569211779,-0.396233152610104,"Singapore","SGP"
1998,24010,-13.4150739271547,9.71491452177222,2.83526067824064,-6.87965384353158,10.7078685960427,32030,0.749609740867936,-13.7182711962252,1.57044415422875,-4.27288153788904,"Singapore","SGP"
1999,23360,-2.70720533111204,6.7948522556138,5.07091874130522,-1.72393351430857,4.07706834481067,33670,0.693792693792694,-5.58170470752425,-1.15488753463437,-2.72533168886312,"Singapore","SGP"
2000,23680,1.36986301369863,4.70782641801606,6.39376692609394,1.68594050807788,-7.91547112180674,35960,0.658509454949944,-3.52832388427494,-3.1039155841967,-1.94902804956233,"Singapore","SGP"
2001,22130,-6.54560810810811,1.29633396343355,7.81284634043509,6.51651237700154,5.95817024095944,36710,0.602833015527104,-5.56764394228401,-4.87099082920023,-1.76707524500353,"Singapore","SGP"
2002,22000,-0.587437867148667,-0.746887258066175,7.93130039743192,8.6781876554981,7.13289241260321,37310,0.589654248190834,-1.31787673362708,-5.9427640927871,-1.07177326358687,"Singapore","SGP"
2003,23440,6.54545454545455,-1.0148934795214,9.90926562620101,10.9241591057224,5.01597890164443,39770,0.589388986673372,-0.0265261517461646,-3.20441508389129,2.73834900889582,"Singapore","SGP"
2004,26150,11.561433447099,-0.539796318181624,9.32596078763258,9.8657571058142,-1.35110839929783,43510,0.601011261778901,1.16222751055295,-1.85562864027585,1.34878644361544,"Singapore","SGP"
2005,28820,10.2103250478011,2.83526067824064,8.88796239530552,6.05270171706488,2.73207606253889,46190,0.623944576748214,2.29333149693125,-0.69129756403461,1.16433107624124,"Singapore","SGP"
2006,32550,12.94240111034,5.07091874130522,7.79557785322977,2.72465911192455,-2.31260080312038,47880,0.679824561403509,5.58799846552949,1.53983091752809,2.2311284815627,"Singapore","SGP"
2007,36010,10.6298003072197,6.39376692609394,6.77525186010693,0.381484934012985,-7.24185251493974,48500,0.742474226804124,6.26496654006149,3.0563995722658,1.51656865473771,"Singapore","SGP"
2008,37230,3.38794779227992,7.81284634043509,5.47536715801211,-2.33747918242298,-3.14620726045075,48980,0.760106165781952,1.76319389778281,3.4143435821716,0.357944009905795,"Singapore","SGP"
2009,37320,0.24174053182917,7.93130039743192,5.40321052393697,-2.52808987349495,20.149470615009,47730,0.781898177247014,2.17920114650627,3.61773830936226,0.203394727190664,"Singapore","SGP"
2010,44930,20.3912111468382,9.90926562620101,2.84045249460745,-7.06881313159356,-12.9129115697182,48990,0.917125944070218,13.5227766823204,5.86362734644009,2.24588903707783,"Singapore","SGP"
2011,48290,7.47829957711996,9.32596078763258,2.71363460845882,-6.61232617917376,-0.333963275608264,50570,0.954913980620921,3.77880365507031,5.50178838434825,-0.361838962091836,"Singapore","SGP"
2012,51740,7.1443363015117,8.88796239530552,2.1099902170018,-6.77797217830371,-1.84862698570188,52770,0.98048133409134,2.55673534704183,4.76014214574432,-0.741646238603932,"Singapore","SGP"
2013,54480,5.29570931580982,7.79557785322977,0,-7.79557785322977,-1.80819096045005,53950,1.00982391102873,2.93425769373906,4.99435490493557,0.234212759191251,"Singapore","SGP"
2014,56380,3.48751835535976,6.77525186010693,0,-6.77525186010693,-9.19876347774359,55860,1.0093089867526,-0.0514924276134643,4.54821619011163,-0.446138714823947,"Singapore","SGP"
2015,53160,-5.71124512238382,5.47536715801211,0,-5.47536715801211,5.44788921568706,56750,0.936740088105727,-7.25688986468689,0.392282880710169,-4.15593330940146,"Singapore","SGP"
2016,53020,-0.263355906696765,5.40321052393697,0,-5.40321052393697,2.71526084822826,57210,0.926761055759483,-0.99790323462442,-0.563058497228777,-0.955341377938945,"Singapore","SGP"
2017,54320,2.4519049415315,2.84045249460745,0,-2.84045249460745,4.13866943254803,59080,0.919431279620853,-0.732977613862962,-1.22100108940973,-0.657942592180958,"Singapore","SGP"
